resolution_time,name,configuration,mention_time
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
95,angular,Random-issues,NA
7327,angular,Random-issues,NA
21,angular,Random-issues,NA
NA,angular,Random-issues,NA
167,angular,Random-issues,NA
0,angular,Random-issues,NA
154,angular,Random-issues,NA
35,angular,Random-issues,NA
48,angular,Random-issues,NA
2470,angular,Random-issues,NA
4,angular,Random-issues,NA
361,angular,Random-issues,NA
92,angular,Random-issues,NA
44,angular,Random-issues,NA
259,angular,Random-issues,NA
4,angular,Random-issues,NA
175,angular,Random-issues,NA
1,angular,Random-issues,NA
125,angular,Random-issues,NA
114,angular,Random-issues,NA
NA,angular,Random-issues,NA
28,angular,Random-issues,NA
1,angular,Random-issues,NA
4,angular,Random-issues,NA
85,angular,Random-issues,NA
2328,angular,Random-issues,NA
134,angular,Random-issues,NA
435,angular,Random-issues,NA
0,angular,Random-issues,NA
8637,angular,Random-issues,NA
3330,angular,Random-issues,NA
2,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
3,angular,Random-issues,NA
13,angular,Random-issues,NA
68,angular,Random-issues,NA
28,angular,Random-issues,NA
531,angular,Random-issues,NA
2321,angular,Random-issues,NA
1,angular,Random-issues,NA
510,angular,Random-issues,NA
24,angular,Random-issues,NA
15,angular,Random-issues,NA
47,angular,Random-issues,NA
5,angular,Random-issues,NA
2,angular,Random-issues,NA
NA,angular,Random-issues,NA
119,angular,Random-issues,NA
29,angular,Random-issues,NA
7347,angular,Random-issues,NA
31,angular,Random-issues,NA
3482,angular,Random-issues,NA
92,angular,Random-issues,NA
1276,angular,Random-issues,NA
36,angular,Random-issues,NA
42,angular,Random-issues,NA
268,angular,Random-issues,NA
1336,angular,Random-issues,NA
21,angular,Random-issues,NA
399,angular,Random-issues,NA
2,angular,Random-issues,NA
66,angular,Random-issues,NA
21,angular,Random-issues,NA
21,angular,Random-issues,NA
NA,angular,Random-issues,NA
218,angular,Random-issues,NA
989,angular,Random-issues,NA
27,angular,Random-issues,NA
455,angular,Random-issues,NA
