"","resolution_time","name","configuration"
"674",6229,"angular","Random"
"675",27,"angular","Random"
"676",1,"angular","Random"
"677",340,"angular","Random"
"678",0,"angular","Random"
"679",3731,"angular","Random"
"680",5,"angular","Random"
"681",2,"angular","Random"
"682",191,"angular","Random"
"683",84,"angular","Random"
"684",NA,"angular","Random"
"685",50,"angular","Random"
"686",1295,"angular","Random"
"687",NA,"angular","Random"
"688",75,"angular","Random"
"689",552,"angular","Random"
"690",983,"angular","Random"
"691",0,"angular","Random"
"692",0,"angular","Random"
"693",0,"angular","Random"
"694",1,"angular","Random"
"695",27,"angular","Random"
"696",79,"angular","Random"
"697",1194,"angular","Random"
"698",NA,"angular","Random"
"699",29,"angular","Random"
"700",79,"angular","Random"
"701",195,"angular","Random"
"702",46,"angular","Random"
"703",18,"angular","Random"
"704",8,"angular","Random"
"705",97,"angular","Random"
"706",1,"angular","Random"
"707",3,"angular","Random"
"708",8291,"angular","Random"
"709",2167,"angular","Random"
"710",4,"angular","Random"
"711",0,"angular","Random"
"712",3,"angular","Random"
"713",302,"angular","Random"
"714",3,"angular","Random"
"715",12,"angular","Random"
"716",NA,"angular","Random"
"717",21,"angular","Random"
"718",1251,"angular","Random"
"719",21,"angular","Random"
"720",55,"angular","Random"
"721",5,"angular","Random"
"722",13203,"angular","Random"
"723",1264,"angular","Random"
"724",1,"angular","Random"
"725",13642,"angular","Random"
"726",24,"angular","Random"
"727",504,"angular","Random"
"728",1,"angular","Random"
"729",11,"angular","Random"
"730",989,"angular","Random"
"731",2742,"angular","Random"
"732",NA,"angular","Random"
"733",0,"angular","Random"
"734",3,"angular","Random"
"735",6638,"angular","Random"
"736",0,"angular","Random"
"737",0,"angular","Random"
"738",2922,"angular","Random"
"739",0,"angular","Random"
"740",277,"angular","Random"
"741",1373,"angular","Random"
"742",0,"angular","Random"
"743",19,"angular","Random"
"744",50,"angular","Random"
"745",4,"angular","Random"
"746",10044,"angular","Random"
"747",3,"angular","Random"
"748",1,"angular","Random"
"749",0,"angular","Random"
"750",8,"angular","Random"
"751",158,"angular","Random"
"752",13,"angular","Random"
"753",4093,"angular","Random"
"754",0,"angular","Random"
"755",8,"angular","Random"
"756",31,"angular","Random"
"757",14,"angular","Random"
"758",1355,"angular","Random"
"759",4,"angular","Random"
"760",55,"angular","Random"
"761",3242,"angular","Random"
"762",NA,"angular","Random"
"763",2555,"angular","Random"
"764",670,"angular","Random"
"765",2938,"angular","Random"
"766",3,"angular","Random"
"767",5,"angular","Random"
"768",999,"angular","Random"
"769",735,"angular","Random"
"770",4,"angular","Random"
"771",2,"angular","Random"
"772",37,"angular","Random"
"773",1,"angular","Random"
"774",1514,"angular","Random"
"775",34,"angular","Random"
"776",5,"angular","Random"
"777",21,"angular","Random"
"778",52,"angular","Random"
"779",21,"angular","Random"
"780",470,"angular","Random"
"781",5281,"angular","Random"
"782",1247,"angular","Random"
"783",484,"angular","Random"
"784",1,"angular","Random"
"785",31,"angular","Random"
"786",29,"angular","Random"
"787",3459,"angular","Random"
"788",0,"angular","Random"
"789",0,"angular","Random"
"790",10,"angular","Random"
"791",2641,"angular","Random"
"792",10,"angular","Random"
"793",NA,"angular","Random"
"794",3,"angular","Random"
"795",1342,"angular","Random"
"796",8072,"angular","Random"
"797",209,"angular","Random"
"798",42,"angular","Random"
"799",75,"angular","Random"
"800",68,"angular","Random"
"801",1,"angular","Random"
"802",NA,"angular","Random"
"803",4766,"angular","Random"
"804",2,"angular","Random"
"805",8903,"angular","Random"
"806",843,"angular","Random"
"807",2962,"angular","Random"
"808",10,"angular","Random"
