issuenumber,resolution_time,room,configuration
10055,18,angular,Random
10079,339,angular,Random
10106,2,angular,Random
10117,98,angular,Random
10126,1,angular,Random
10130,17,angular,Random
10132,185,angular,Random
10139,2361,angular,Random
10151,15,angular,Random
10162,552,angular,Random
10166,22,angular,Random
10204,4,angular,Random
10205,261,angular,Random
10209,2,angular,Random
10230,105,angular,Random
10236,1,angular,Random
10239,0,angular,Random
10257,0,angular,Random
10282,1751,angular,Random
10321,2359,angular,Random
10343,2,angular,Random
10345,7,angular,Random
10390,8,angular,Random
10435,1534,angular,Random
10442,33,angular,Random
10455,1,angular,Random
10461,1672,angular,Random
10469,0,angular,Random
10482,19,angular,Random
10494,2048,angular,Random
10500,95,angular,Random
10509,1,angular,Random
10517,2,angular,Random
10551,10,angular,Random
10552,569,angular,Random
10556,NA,angular,Random
10565,1,angular,Random
10569,0,angular,Random
10585,377,angular,Random
10587,16,angular,Random
10603,NA,angular,Random
10606,1,angular,Random
10614,1527,angular,Random
10631,NA,angular,Random
10644,NA,angular,Random
10647,NA,angular,Random
10655,0,angular,Random
10662,3,angular,Random
10671,4,angular,Random
10677,1,angular,Random
10692,1,angular,Random
10717,2,angular,Random
10718,1,angular,Random
10784,2,angular,Random
10803,12712,angular,Random
10804,11,angular,Random
10815,1,angular,Random
10841,35,angular,Random
10843,4130,angular,Random
10846,1354,angular,Random
10886,1342,angular,Random
10904,20,angular,Random
10915,1326,angular,Random
10916,NA,angular,Random
10917,NA,angular,Random
10922,1,angular,Random
10935,16,angular,Random
10944,97,angular,Random
10950,136,angular,Random
10975,33,angular,Random
11029,0,angular,Random
11041,NA,angular,Random
11052,863,angular,Random
11055,11405,angular,Random
11090,7,angular,Random
11097,NA,angular,Random
11136,16,angular,Random
11144,NA,angular,Random
11151,NA,angular,Random
11173,NA,angular,Random
11191,1,angular,Random
11202,41,angular,Random
11220,3,angular,Random
11249,286,angular,Random
11253,3,angular,Random
11269,1,angular,Random
11274,56,angular,Random
