issuenumber,restime,commentcount,author_association,assigneeid,milestone,room,config
1244,529,16,MEMBER,838736,YES,angular,Gitter
1253,23,4,MEMBER,NA,NO,angular,Gitter
1254,1329,7,CONTRIBUTOR,NA,NO,angular,Gitter
1293,1983,30,MEMBER,111951,YES,angular,Gitter
1319,653,8,MEMBER,211513,YES,angular,Gitter
1337,0,3,CONTRIBUTOR,7208,NO,angular,Gitter
1350,10671,4,CONTRIBUTOR,NA,NO,angular,Gitter
1402,522,16,MEMBER,973550,YES,angular,Gitter
1425,7,9,CONTRIBUTOR,NA,NO,angular,Gitter
1472,1262,11,CONTRIBUTOR,973550,YES,angular,Gitter
1486,168,6,CONTRIBUTOR,NA,YES,angular,Gitter
1489,1890,27,NONE,35996,YES,angular,Gitter
1498,58,6,MEMBER,690815,NO,angular,Gitter
1506,20,2,MEMBER,NA,NO,angular,Gitter
1530,90,10,CONTRIBUTOR,NA,NO,angular,Gitter
1551,853,7,CONTRIBUTOR,NA,NO,angular,Gitter
1590,215,7,CONTRIBUTOR,248818,YES,angular,Gitter
1594,3922,23,MEMBER,4175141,NO,angular,Gitter
1598,313,30,MEMBER,111951,YES,angular,Gitter
1606,1,8,CONTRIBUTOR,NA,NO,angular,Gitter
1625,1603,7,MEMBER,111951,YES,angular,Gitter
1640,266,2,CONTRIBUTOR,NA,NO,angular,Gitter
1652,700,3,NONE,95713,NO,angular,Gitter
1655,678,30,CONTRIBUTOR,95713,NO,angular,Gitter
1744,601,22,MEMBER,NA,NO,angular,Gitter
1773,15126,30,MEMBER,NA,NO,angular,Gitter
1797,34,4,CONTRIBUTOR,NA,NO,angular,Gitter
1802,2531,14,CONTRIBUTOR,NA,NO,angular,Gitter
1807,673,3,CONTRIBUTOR,690815,YES,angular,Gitter
1842,391,8,CONTRIBUTOR,NA,YES,angular,Gitter
1858,NA,30,NONE,NA,YES,angular,Gitter
1950,1268,17,NONE,474988,YES,angular,Gitter
2013,230,5,MEMBER,NA,NO,angular,Gitter
2020,9810,5,MEMBER,NA,NO,angular,Gitter
2031,2402,14,CONTRIBUTOR,NA,NO,angular,Gitter
2049,2210,2,NONE,NA,NO,angular,Gitter
2063,21,3,MEMBER,NA,NO,angular,Gitter
2065,17,10,NONE,NA,NO,angular,Gitter
2104,204,7,NONE,NA,NO,angular,Gitter
2110,340,5,CONTRIBUTOR,NA,NO,angular,Gitter
2139,168,4,CONTRIBUTOR,NA,NO,angular,Gitter
2175,480,11,CONTRIBUTOR,168174,YES,angular,Gitter
2194,385,4,CONTRIBUTOR,NA,YES,angular,Gitter
2201,1616,7,NONE,93018,YES,angular,Gitter
2216,2109,5,NONE,NA,NO,angular,Gitter
2246,5,30,NONE,NA,NO,angular,Gitter
2296,NA,30,CONTRIBUTOR,NA,YES,angular,Gitter
2329,623,5,CONTRIBUTOR,93018,YES,angular,Gitter
2340,9446,13,MEMBER,NA,NO,angular,Gitter
2343,109,16,NONE,95713,YES,angular,Gitter
2379,623,26,MEMBER,35996,YES,angular,Gitter
2383,4550,30,MEMBER,NA,NO,angular,Gitter
2397,4,5,NONE,NA,NO,angular,Gitter
2409,27420,12,CONTRIBUTOR,NA,YES,angular,Gitter
2413,16636,12,MEMBER,NA,NO,angular,Gitter
2451,13269,26,CONTRIBUTOR,NA,NO,angular,Gitter
2543,427,16,NONE,NA,NO,angular,Gitter
2551,9167,4,CONTRIBUTOR,3871688,NO,angular,Gitter
2597,621,7,NONE,2294695,YES,angular,Gitter
2631,18,3,CONTRIBUTOR,NA,NO,angular,Gitter
2645,2083,5,CONTRIBUTOR,NA,NO,angular,Gitter
2660,219,11,NONE,NA,NO,angular,Gitter
2664,73,13,MEMBER,NA,YES,angular,Gitter
2683,9000,13,CONTRIBUTOR,NA,NO,angular,Gitter
2684,5546,30,CONTRIBUTOR,463703,NO,angular,Gitter
2719,195,18,MEMBER,973550,NO,angular,Gitter
2753,126,30,NONE,NA,NO,angular,Gitter
2766,933,7,MEMBER,973550,YES,angular,Gitter
2788,1903,30,CONTRIBUTOR,NA,NO,angular,Gitter
2793,3769,10,CONTRIBUTOR,463703,NO,angular,Gitter
2797,22,1,CONTRIBUTOR,NA,YES,angular,Gitter
2800,2016,1,CONTRIBUTOR,NA,NO,angular,Gitter
2803,5347,3,CONTRIBUTOR,NA,NO,angular,Gitter
2828,115,3,CONTRIBUTOR,463703,NO,angular,Gitter
2844,3844,17,MEMBER,973550,NO,angular,Gitter
2865,248,7,CONTRIBUTOR,NA,NO,angular,Gitter
2882,712,5,MEMBER,463703,NO,angular,Gitter
2885,70,11,CONTRIBUTOR,NA,NO,angular,Gitter
2956,973,10,CONTRIBUTOR,NA,NO,angular,Gitter
2957,973,5,CONTRIBUTOR,NA,NO,angular,Gitter
2959,8597,5,NONE,NA,NO,angular,Gitter
2961,8593,23,CONTRIBUTOR,3871688,NO,angular,Gitter
2962,NA,20,CONTRIBUTOR,3871688,YES,angular,Gitter
2965,8591,17,CONTRIBUTOR,NA,NO,angular,Gitter
3009,NA,16,CONTRIBUTOR,3871688,YES,angular,Gitter
3076,19,10,CONTRIBUTOR,35996,YES,angular,Gitter
3082,2058,14,NONE,47395,NO,angular,Gitter
3104,5681,12,NONE,35996,NO,angular,Gitter
3151,8233,6,CONTRIBUTOR,3871688,NO,angular,Gitter
3186,15,5,CONTRIBUTOR,NA,NO,angular,Gitter
3193,4405,6,MEMBER,NA,NO,angular,Gitter
3215,18,2,CONTRIBUTOR,211513,YES,angular,Gitter
3220,2,3,NONE,NA,NO,angular,Gitter
3226,4,2,NONE,NA,NO,angular,Gitter
3257,10290,4,CONTRIBUTOR,NA,NO,angular,Gitter
3261,8245,13,CONTRIBUTOR,NA,NO,angular,Gitter
3291,87,2,CONTRIBUTOR,NA,NO,angular,Gitter
3333,11277,30,MEMBER,2316643,YES,angular,Gitter
3336,172,3,MEMBER,838736,YES,angular,Gitter
3376,607,12,CONTRIBUTOR,NA,NO,angular,Gitter
3398,171,5,NONE,NA,NO,angular,Gitter
3406,10702,30,NONE,3871688,NO,angular,Gitter
3424,8746,2,MEMBER,NA,NO,angular,Gitter
3441,69,3,NONE,NA,NO,angular,Gitter
3458,2685,30,CONTRIBUTOR,463703,NO,angular,Gitter
3474,7702,7,NONE,NA,NO,angular,Gitter
3498,29,2,MEMBER,973550,YES,angular,Gitter
3503,6997,4,NONE,NA,NO,angular,Gitter
3518,4048,6,CONTRIBUTOR,838736,NO,angular,Gitter
3525,8584,15,NONE,NA,NO,angular,Gitter
3528,82,7,NONE,NA,NO,angular,Gitter
3536,72,3,NONE,NA,NO,angular,Gitter
3557,59,11,MEMBER,973550,YES,angular,Gitter
3605,1210,2,CONTRIBUTOR,690815,YES,angular,Gitter
3628,6,1,NONE,NA,NO,angular,Gitter
3664,25991,11,MEMBER,NA,YES,angular,Gitter
3670,7683,4,CONTRIBUTOR,NA,NO,angular,Gitter
3689,4155,8,NONE,NA,NO,angular,Gitter
3691,171,6,NONE,NA,NO,angular,Gitter
3701,7630,9,NONE,NA,NO,angular,Gitter
3733,529,11,CONTRIBUTOR,NA,NO,angular,Gitter
3740,115,6,CONTRIBUTOR,NA,NO,angular,Gitter
3754,8331,16,NONE,973550,NO,angular,Gitter
3755,270,6,NONE,NA,NO,angular,Gitter
3769,1002,3,MEMBER,973550,NO,angular,Gitter
3785,46,6,CONTRIBUTOR,NA,NO,angular,Gitter
3797,3,6,NONE,NA,NO,angular,Gitter
3800,1077,7,CONTRIBUTOR,NA,NO,angular,Gitter
3824,702,6,MEMBER,216296,NO,angular,Gitter
3838,815,11,NONE,NA,NO,angular,Gitter
3864,120,8,CONTRIBUTOR,35996,YES,angular,Gitter
3866,407,10,NONE,NA,NO,angular,Gitter
3876,430,4,CONTRIBUTOR,571363,NO,angular,Gitter
3882,1429,9,CONTRIBUTOR,NA,NO,angular,Gitter
3896,163,4,CONTRIBUTOR,NA,NO,angular,Gitter
3901,3,4,CONTRIBUTOR,NA,NO,angular,Gitter
3917,2535,4,MEMBER,216296,YES,angular,Gitter
3921,7089,10,CONTRIBUTOR,NA,NO,angular,Gitter
3922,1344,2,CONTRIBUTOR,95713,YES,angular,Gitter
3928,93,14,CONTRIBUTOR,248818,NO,angular,Gitter
3929,NA,5,MEMBER,NA,YES,angular,Gitter
3938,79,3,CONTRIBUTOR,NA,NO,angular,Gitter
3957,990,20,NONE,NA,NO,angular,Gitter
3969,22,4,CONTRIBUTOR,NA,NO,angular,Gitter
3979,143,13,CONTRIBUTOR,NA,YES,angular,Gitter
3987,4,7,NONE,NA,NO,angular,Gitter
3992,2,9,CONTRIBUTOR,35996,YES,angular,Gitter
4002,575,3,NONE,NA,NO,angular,Gitter
4004,3480,3,CONTRIBUTOR,NA,NO,angular,Gitter
4015,7008,30,MEMBER,NA,YES,angular,Gitter
4018,32,5,NONE,NA,NO,angular,Gitter
4022,6482,7,CONTRIBUTOR,NA,NO,angular,Gitter
4055,6936,12,CONTRIBUTOR,NA,YES,angular,Gitter
4058,169,11,CONTRIBUTOR,NA,NO,angular,Gitter
4059,NA,9,MEMBER,NA,YES,angular,Gitter
4062,11234,30,MEMBER,534930,NO,angular,Gitter
4112,6861,30,CONTRIBUTOR,NA,NO,angular,Gitter
4130,10,6,CONTRIBUTOR,NA,NO,angular,Gitter
4131,1247,4,NONE,NA,NO,angular,Gitter
4149,1152,11,CONTRIBUTOR,534930,YES,angular,Gitter
4150,92,9,NONE,NA,NO,angular,Gitter
4155,0,8,NONE,NA,NO,angular,Gitter
4163,51,4,MEMBER,NA,NO,angular,Gitter
4166,7158,5,NONE,NA,NO,angular,Gitter
4174,539,4,CONTRIBUTOR,NA,NO,angular,Gitter
4197,333,2,NONE,NA,NO,angular,Gitter
4216,35,8,MEMBER,NA,NO,angular,Gitter
4231,3467,30,CONTRIBUTOR,534930,NO,angular,Gitter
4246,6803,3,MEMBER,NA,NO,angular,Gitter
4278,1239,30,CONTRIBUTOR,973550,YES,angular,Gitter
4288,14,7,NONE,NA,NO,angular,Gitter
4318,434,9,MEMBER,4175141,YES,angular,Gitter
4330,3506,7,CONTRIBUTOR,NA,NO,angular,Gitter
4333,820,5,CONTRIBUTOR,NA,NO,angular,Gitter
4340,3863,8,CONTRIBUTOR,NA,NO,angular,Gitter
4350,81,14,NONE,NA,NO,angular,Gitter
4355,6745,6,MEMBER,NA,NO,angular,Gitter
4363,6733,4,NONE,NA,NO,angular,Gitter
4380,28,4,NONE,NA,NO,angular,Gitter
4389,6665,14,MEMBER,NA,NO,angular,Gitter
4393,4,7,NONE,NA,NO,angular,Gitter
4402,3061,12,CONTRIBUTOR,3871688,NO,angular,Gitter
4404,167,27,CONTRIBUTOR,NA,NO,angular,Gitter
4416,273,30,CONTRIBUTOR,NA,YES,angular,Gitter
4417,1152,15,MEMBER,NA,YES,angular,Gitter
4427,5881,7,CONTRIBUTOR,NA,NO,angular,Gitter
4435,29,30,CONTRIBUTOR,35996,NO,angular,Gitter
4452,1440,30,CONTRIBUTOR,NA,YES,angular,Gitter
4475,6553,4,CONTRIBUTOR,NA,NO,angular,Gitter
4482,1,2,CONTRIBUTOR,95713,NO,angular,Gitter
4486,1774,6,NONE,35996,NO,angular,Gitter
4490,1170,6,CONTRIBUTOR,474988,NO,angular,Gitter
4496,80,6,CONTRIBUTOR,95713,YES,angular,Gitter
4497,153,19,CONTRIBUTOR,47395,YES,angular,Gitter
4504,0,6,NONE,NA,NO,angular,Gitter
4506,1392,17,NONE,690815,YES,angular,Gitter
4516,16,11,NONE,NA,NO,angular,Gitter
4521,32,2,CONTRIBUTOR,NA,YES,angular,Gitter
4525,587,13,MEMBER,NA,NO,angular,Gitter
4551,51,7,CONTRIBUTOR,690815,YES,angular,Gitter
4566,2,18,CONTRIBUTOR,216296,NO,angular,Gitter
4576,56,16,NONE,NA,NO,angular,Gitter
4581,223,6,NONE,NA,NO,angular,Gitter
4588,532,4,MEMBER,NA,NO,angular,Gitter
4598,6432,11,CONTRIBUTOR,NA,NO,angular,Gitter
4603,NA,4,MEMBER,NA,YES,angular,Gitter
4604,482,5,MEMBER,534930,YES,angular,Gitter
4608,1,5,NONE,NA,NO,angular,Gitter
4612,4,6,NONE,NA,NO,angular,Gitter
4616,287,4,CONTRIBUTOR,NA,NO,angular,Gitter
4631,10,7,NONE,NA,NO,angular,Gitter
4658,1,8,CONTRIBUTOR,111951,NO,angular,Gitter
4671,6142,12,CONTRIBUTOR,NA,YES,angular,Gitter
4704,410,7,MEMBER,47395,NO,angular,Gitter
4716,186,2,CONTRIBUTOR,NA,NO,angular,Gitter
4725,55,10,NONE,NA,NO,angular,Gitter
4733,8307,9,MEMBER,NA,NO,angular,Gitter
4737,120,12,MEMBER,NA,NO,angular,Gitter
4760,2850,4,NONE,NA,NO,angular,Gitter
4784,2627,19,CONTRIBUTOR,445106,YES,angular,Gitter
4792,70,19,NONE,NA,NO,angular,Gitter
4805,1278,12,NONE,NA,YES,angular,Gitter
4808,8204,30,NONE,NA,NO,angular,Gitter
4815,5779,8,NONE,NA,NO,angular,Gitter
4821,215,2,CONTRIBUTOR,NA,NO,angular,Gitter
4834,1193,3,MEMBER,973550,YES,angular,Gitter
4841,6120,4,MEMBER,NA,NO,angular,Gitter
4843,4049,30,NONE,3871688,YES,angular,Gitter
4882,101,5,CONTRIBUTOR,47395,NO,angular,Gitter
4893,118,8,MEMBER,534930,YES,angular,Gitter
4902,1248,30,CONTRIBUTOR,NA,YES,angular,Gitter
4903,11,17,NONE,NA,NO,angular,Gitter
4917,23,4,CONTRIBUTOR,NA,NO,angular,Gitter
4919,8012,2,CONTRIBUTOR,NA,NO,angular,Gitter
4925,2348,2,MEMBER,216296,YES,angular,Gitter
4930,24113,9,CONTRIBUTOR,NA,YES,angular,Gitter
4933,6229,30,CONTRIBUTOR,3871688,YES,angular,Gitter
4944,7993,7,CONTRIBUTOR,NA,NO,angular,Gitter
4945,5927,16,CONTRIBUTOR,NA,YES,angular,Gitter
4946,NA,21,NONE,NA,YES,angular,Gitter
4974,24018,30,CONTRIBUTOR,NA,YES,angular,Gitter
4998,2,8,NONE,NA,NO,angular,Gitter
5014,9,3,MEMBER,NA,NO,angular,Gitter
5025,6150,7,NONE,35996,NO,angular,Gitter
5028,436,10,NONE,NA,YES,angular,Gitter
5040,71,4,NONE,NA,NO,angular,Gitter
5046,7897,9,CONTRIBUTOR,NA,NO,angular,Gitter
5063,1926,9,NONE,NA,NO,angular,Gitter
5075,26,9,CONTRIBUTOR,35996,YES,angular,Gitter
5085,2,4,NONE,NA,NO,angular,Gitter
5100,20061,15,MEMBER,NA,YES,angular,Gitter
5102,54,4,CONTRIBUTOR,93018,YES,angular,Gitter
5114,22,3,MEMBER,NA,NO,angular,Gitter
5123,125,8,NONE,NA,NO,angular,Gitter
5126,NA,9,CONTRIBUTOR,NA,YES,angular,Gitter
5130,459,27,NONE,534930,NO,angular,Gitter
5133,3468,2,NONE,NA,NO,angular,Gitter
5145,5344,11,NONE,NA,NO,angular,Gitter
5155,7,30,NONE,NA,NO,angular,Gitter
5165,411,2,CONTRIBUTOR,534930,YES,angular,Gitter
5169,7980,21,NONE,NA,NO,angular,Gitter
5180,51,4,CONTRIBUTOR,NA,NO,angular,Gitter
5185,6462,5,CONTRIBUTOR,NA,NO,angular,Gitter
