displayName,username,sent,repo,number
Aleš,fxck,2015-11-20T07:44:45.580Z,angular/angular,5100
Rob Wormald,robwormald,2015-11-20T11:47:29.683Z,angular/angular,2383
Aleš,fxck,2015-11-20T17:32:16.172Z,angular/angular,5133
Eric Martinez,ericmartinezr,2015-11-20T19:06:54.586Z,angular/angular,5028
Sergio,cur3n4,2015-11-22T00:59:46.074Z,angular/angular,5133
Sergio,cur3n4,2015-11-22T00:59:46.074Z,angular/angular,3104
Eduardo Born,nosachamos,2015-11-23T17:00:34.103Z,angular/angular,5352
Pawel Kozlowski,pkozlowski-opensource,2015-11-23T21:46:11.786Z,angular/angular,5223
Jeff,Jefftopia,2015-11-24T18:33:19.552Z,angular/angular,4416
Eric Martinez,ericmartinezr,2015-11-25T03:48:57.979Z,angular/angular,4725
Ge Yang,episodeyang,2015-11-25T04:50:16.430Z,angular/angular,5459
Eric Martinez,ericmartinezr,2015-11-25T10:23:51.111Z,angular/angular,5248
escardin,escardin,2015-11-25T19:40:27.603Z,angular/angular,2246
Tiago Braga,tbragaf,2015-11-26T16:47:19.828Z,angular/angular,5275
Rob Wormald,robwormald,2015-11-27T09:40:17.661Z,angular/angular,5075
Evgeniy OZ,e-oz,2015-11-27T11:46:32.779Z,angular/angular,3525
Aleš,fxck,2015-11-27T13:54:55.948Z,angular/angular,2965
Eric Martinez,ericmartinezr,2015-11-28T22:17:06.093Z,angular/angular,5448
Eric Martinez,ericmartinezr,2015-11-29T18:11:49.408Z,angular/angular,4566
Eric Martinez,ericmartinezr,2015-11-29T18:18:01.052Z,angular/angular,596
Rob Wormald,robwormald,2015-11-30T06:07:20.376Z,angular/angular,3474
Christoph Burgdorf,cburgdorf,2015-11-30T11:04:24.794Z,angular/angular,5505
Christoph Burgdorf,cburgdorf,2015-11-30T13:26:27.001Z,angular/angular,5505
Aleš,fxck,2015-11-30T15:45:28.684Z,angular/angular,2956
Eric Martinez,ericmartinezr,2015-11-30T16:06:45.283Z,angular/angular,2296
Dominic Watson,intellix,2015-11-30T17:55:58.532Z,angular/angular,1034
Eric Martinez,ericmartinezr,2015-11-30T21:41:24.673Z,angular/angular,2683
Eric Martinez,ericmartinezr,2015-12-01T00:10:47.529Z,angular/angular,5302
Eric Martinez,ericmartinezr,2015-12-01T13:31:41.168Z,angular/angular,5397
Eric Martinez,ericmartinezr,2015-12-01T22:37:09.527Z,angular/angular,5350
Rob Wormald,robwormald,2015-12-02T01:16:05.969Z,angular/angular,2957
Brandon,brandonroberts,2015-12-02T14:00:23.403Z,angular/angular,5335
