displayName,username,sent,repo,number
Sascha,wwlsascha,2016-09-09T10:22:30.868Z,vuejs/vue,3648
Agus Santoso,asantoso_twitter,2016-09-12T03:06:18.513Z,vuejs/vue,2873
Tsuboka Kumiko,kum1ko,2016-09-12T06:29:25.544Z,vuejs/vue,3223
Dave,aios,2016-09-13T04:53:13.772Z,vuejs/vue,3261
Bill Criswell,crswll,2016-09-13T22:22:14.101Z,vuejs/vue,3614
Mark Harwood,Phunky,2016-09-14T15:37:35.394Z,vuejs/vue,2283
Nico,nicozimmermann94,2016-09-16T09:15:59.877Z,vuejs/vue,328
oldpig,Centaur,2016-09-17T03:07:52.345Z,vuejs/vue,2873
Bill Criswell,crswll,2016-09-17T23:50:04.692Z,vuejs/vue,2873
codepuncher,codepuncher,2016-09-19T13:09:08.763Z,vuejs/vue,1200
jeffcj,jeffcj,2016-09-21T02:34:41.957Z,vuejs/vue,2873
Stéphane Travostino,1player,2016-09-22T15:20:04.225Z,vuejs/vue,3723
AlphaStyle,AlphaStyle,2016-09-24T11:29:25.024Z,vuejs/vue,2873
Kelly Thomas Kline,kellytk,2016-09-25T07:07:22.171Z,vuejs/vue,478
java-dream,liming9515,2016-09-27T02:13:43.439Z,vuejs/vue,3769
java-dream,liming9515,2016-09-27T02:22:46.380Z,vuejs/vue,3769
java-dream,liming9515,2016-09-27T02:29:50.960Z,vuejs/vue,3770
Martin,mbaumgart,2016-09-27T11:03:08.348Z,vuejs/vue,2873
morning,ibufu,2016-09-28T06:18:19.814Z,vuejs/vue,2873
Rémi Vanrenterghem,Elfayer,2016-09-28T14:56:58.336Z,vuejs/vue,2873
Bill Criswell,crswll,2016-09-29T03:41:05.350Z,vuejs/vue,3666
Kelly Thomas Kline,kellytk,2016-09-29T12:38:22.414Z,vuejs/vue,478
J Bruni,jbruni,2016-09-29T13:15:01.778Z,vuejs/vue,2494
Marko Bolliger,cannap,2016-09-30T20:08:27.839Z,vuejs/vue,3822
Lorenz Kahl,LorenzKahl,2016-10-05T21:17:43.261Z,vuejs/vue,3467
Reinier Kaper,TheDutchCoder,2016-10-06T16:00:16.702Z,vuejs/vue,3842
Oleg Bogdanov,wormen,2016-10-08T07:47:40.368Z,vuejs/vue,2756
Alexander Hofstede,aphofstede,2016-10-08T16:24:13.109Z,vuejs/vue,3879
Jon,CookieJon,2016-10-10T04:11:01.843Z,vuejs/vue,2873
Paul DeMello,pdemello,2016-10-11T18:39:46.619Z,vuejs/vue,2873
eldor,eldor,2016-10-14T18:43:34.314Z,vuejs/vue,3852
Jon,CookieJon,2016-10-18T02:59:42.926Z,vuejs/vue,3309
Nghiệp,nghiepit,2016-10-21T11:12:18.448Z,vuejs/vue,4005
Christoffer Rydberg,murum,2016-10-21T13:52:01.084Z,vuejs/vue,2873
Jon,CookieJon,2016-10-24T01:20:36.793Z,vuejs/vue,2873
Bill Criswell,crswll,2016-10-25T16:55:17.474Z,vuejs/vue,3691
Bill Criswell,crswll,2016-10-25T16:56:46.268Z,vuejs/vue,2512
Tim Rijkse,timrijkse,2016-10-27T07:29:19.976Z,vuejs/vue,2873
Dexter Miguel,lgdexter,2016-10-27T21:46:26.571Z,vuejs/vue,4049
Declan de Wet,declandewet,2016-10-28T15:13:34.016Z,vuejs/vue,1157
Tor Hagen,eliudnir,2016-10-29T00:30:18.177Z,vuejs/vue,1915
Kristian Mandrup,kristianmandrup,2016-10-29T12:58:21.985Z,vuejs/vue,4061
Opppex,Opppex,2016-11-01T13:41:09.317Z,vuejs/vue,4082
Reinier Kaper,TheDutchCoder,2016-11-01T15:29:03.149Z,vuejs/vue,3842
fkaempfer,fkaempfer,2016-11-03T09:12:40.671Z,vuejs/vue,4083
Lars van der Zande,XeonPowder,2016-11-07T06:20:25.818Z,vuejs/vue,2756
Dariusz Sikorski,dariuszsikorski,2016-11-08T13:52:42.185Z,vuejs/vue,2765
Bill Criswell,crswll,2016-11-14T15:16:05.592Z,vuejs/vue,4155
Dariusz Sikorski,dariuszsikorski,2016-11-15T13:21:36.973Z,vuejs/vue,2756
Chenng,ringcrl,2016-11-16T03:55:59.721Z,vuejs/vue,4210
karimcossutti,karimcossutti,2016-11-18T10:55:40.110Z,vuejs/vue,1915
Krzysztof Borowy,Krizzu,2016-11-18T10:58:36.935Z,vuejs/vue,1036
Rémi Vanrenterghem,Elfayer,2016-11-21T12:57:54.612Z,vuejs/vue,2873
ChangJoo Park(박창주),ChangJoo-Park,2016-11-24T12:26:34.933Z,vuejs/vue,4310
Remco Huijser,remcohuijser,2016-11-29T11:42:44.123Z,vuejs/vue,3291
David Weldon,dweldon,2016-11-30T18:51:33.487Z,vuejs/vue,2364
Reinier Kaper,TheDutchCoder,2016-12-02T21:18:57.313Z,vuejs/vue,2198
Rémi Vanrenterghem,Elfayer,2016-12-06T14:51:40.243Z,vuejs/vue,3444
J Bruni,jbruni,2016-12-14T06:02:51.422Z,vuejs/vue,4473
ChangJoo Park(박창주),ChangJoo-Park,2016-12-20T06:38:34.496Z,vuejs/vue,4512
Niels Simenon,ThePendulum,2016-12-22T18:28:44.474Z,vuejs/vue,2410
Med,medelasri,2016-12-27T18:47:12.969Z,vuejs/vue,4585
lavezzi1,lavezzi1,2016-12-29T08:07:32.307Z,vuejs/vue,4600
lavezzi1,lavezzi1,2016-12-29T09:04:14.701Z,vuejs/vue,4600
Amir Rustamzadeh,amirrustam,2016-12-30T03:59:41.801Z,vuejs/vue,4608
Julien Granier,GranJDev,2016-12-30T07:59:56.445Z,vuejs/vue,2756
Reinier Kaper,TheDutchCoder,2017-01-04T15:51:55.468Z,vuejs/vue,3842
Dariusz Sikorski,dariuszsikorski,2017-01-07T21:14:43.250Z,vuejs/vue,2756
Muhammad Ubaid Raza,mubaidr,2017-01-09T04:27:02.240Z,vuejs/vue,2873
Dariusz Sikorski,dariuszsikorski,2017-01-10T15:23:54.161Z,vuejs/vue,2756
Cristi Jora,cristijora,2017-01-12T08:32:59.873Z,vuejs/vue,3842
Guilherme Waess,guilhermewaess,2017-01-12T20:00:08.468Z,vuejs/vue,1768
zhan ishzhanov,janat08,2017-01-17T11:06:46.287Z,vuejs/vue,4732
Gaurang Patel,g-patel,2017-01-17T16:20:50.348Z,vuejs/vue,4734
Brian Kung,briankung,2017-01-17T17:53:36.142Z,vuejs/vue,4549
MicroDreamIT,MicroDreamIT,2017-01-18T10:02:05.872Z,vuejs/vue,1993
andreas,andreasvirkus,2017-01-18T10:05:25.015Z,vuejs/vue,3090
Jack Neary,xeeeveee,2017-01-20T09:40:33.273Z,vuejs/vue,1254
Alex,petestreet,2017-01-23T08:11:18.147Z,vuejs/vue,2873
lucien144,lucien144,2017-01-31T09:29:45.355Z,vuejs/vue,3406
Bill Criswell,crswll,2017-01-31T17:48:22.504Z,vuejs/vue,2637
Muah,ctf0,2017-02-01T18:19:21.935Z,vuejs/vue,4827
Wenlu Wang,Kingwl,2017-02-06T06:57:44.990Z,vuejs/vue,4846
peng Lyu,lvpeng,2017-02-06T10:27:19.288Z,vuejs/vue,4846
Daniel Perez,DanielPe05_twitter,2017-02-06T16:21:15.533Z,vuejs/vue,2756
peng Lyu,lvpeng,2017-02-07T03:56:59.934Z,vuejs/vue,4846
Andrey Nering,andreynering,2017-02-08T11:50:47.071Z,vuejs/vue,2766
Dreampie,Dreampie,2017-02-09T04:49:30.496Z,vuejs/vue,4886
gustojs,gustojs,2017-02-11T10:29:08.599Z,vuejs/vue,4833
Olzhas Alexandrov,o-alexandrov,2017-02-13T09:14:12.906Z,vuejs/vue,4393
Robert Collins,robbiemu,2017-02-14T15:34:27.976Z,vuejs/vue,679
Kim Yu Ng,kimyu92_twitter,2017-02-14T20:34:23.748Z,vuejs/vue,1025
beasfall,beasfall,2017-02-14T22:00:40.458Z,vuejs/vue,2897
beasfall,beasfall,2017-02-15T00:53:29.158Z,vuejs/vue,788
beasfall,beasfall,2017-02-15T00:53:29.158Z,vuejs/vue,2897
Joshua Bemenderfer,JoshTheDerf,2017-02-15T10:20:45.522Z,vuejs/vue,4664
Joshua Bemenderfer,JoshTheDerf,2017-02-15T10:21:37.977Z,vuejs/vue,2410
Vinicius Reis,vinicius73,2017-02-15T18:19:49.506Z,vuejs/vue,4272
Austin,Austio,2017-02-17T22:21:17.725Z,vuejs/vue,4962
inker610566,inker610566,2017-02-22T02:52:03.114Z,vuejs/vue,4984
andreas,andreasvirkus,2017-02-22T09:43:38.831Z,vuejs/vue,1726
Benny Schudel,bennyschudel,2017-02-22T11:44:38.002Z,vuejs/vue,2382
TimDix,TimDix,2017-02-22T15:31:42.822Z,vuejs/vue,1036
